img_id,label,conf_level,run_date,api
1,city,0.99,20/06/2028,clarifai
1,vehicle,0.98,20/06/2028,clarifai
1,people,0.98,20/06/2028,clarifai
1,road,0.97,20/06/2028,clarifai
1,street,0.97,20/06/2028,clarifai
1,traffic,0.96,20/06/2028,clarifai
1,sidewalk,0.94,20/06/2028,clarifai
1,police,0.94,20/06/2028,clarifai
1,urban,0.92,20/06/2028,clarifai
1,store,0.92,20/06/2028,clarifai
1,outdoors,0.91,20/06/2028,clarifai
1,transportation,0.91,20/06/2028,clarifai
1,architecture,0.9,20/06/2028,clarifai
1,business,0.9,20/06/2028,clarifai
1,bicycle,0.9,20/06/2028,clarifai
1,town,0.88,20/06/2028,clarifai
1,commerce,0.87,20/06/2028,clarifai
1,portrait,0.87,20/06/2028,clarifai
1,walkway,0.87,20/06/2028,clarifai
1,shopping,0.87,20/06/2028,clarifai
2,candle,0.99,20/06/2028,clarifai
2,nobody,0.99,20/06/2028,clarifai
2,container,0.99,20/06/2028,clarifai
2,beverage,0.99,20/06/2028,clarifai
2,indoors,0.99,20/06/2028,clarifai
2,barrel,0.98,20/06/2028,clarifai
2,dairy product,0.97,20/06/2028,clarifai
2,people,0.97,20/06/2028,clarifai
2,food,0.97,20/06/2028,clarifai
2,bottle,0.96,20/06/2028,clarifai
2,still life,0.95,20/06/2028,clarifai
2,wine,0.95,20/06/2028,clarifai
2,recreation,0.94,20/06/2028,clarifai
2,commerce,0.93,20/06/2028,clarifai
2,one,0.93,20/06/2028,clarifai
2,liquor,0.93,20/06/2028,clarifai
2,counter,0.93,20/06/2028,clarifai
2,group,0.93,20/06/2028,clarifai
2,whiskey,0.92,20/06/2028,clarifai
2,bar,0.91,20/06/2028,clarifai
3,furniture,0.99,20/06/2028,clarifai
3,window,0.99,20/06/2028,clarifai
3,sofa,0.99,20/06/2028,clarifai
3,room,0.99,20/06/2028,clarifai
3,indoors,0.99,20/06/2028,clarifai
3,seat,0.99,20/06/2028,clarifai
3,lamp,0.99,20/06/2028,clarifai
3,dwelling,0.99,20/06/2028,clarifai
3,contemporary,0.98,20/06/2028,clarifai
3,floor,0.97,20/06/2028,clarifai
3,table,0.97,20/06/2028,clarifai
3,chair,0.96,20/06/2028,clarifai
3,bedroom,0.96,20/06/2028,clarifai
3,interior design,0.96,20/06/2028,clarifai
3,apartment,0.94,20/06/2028,clarifai
3,house,0.92,20/06/2028,clarifai
3,coffee table,0.91,20/06/2028,clarifai
3,easy chair,0.9,20/06/2028,clarifai
3,curtain,0.9,20/06/2028,clarifai
3,bed,0.89,20/06/2028,clarifai
4,computer,0.99,20/06/2028,clarifai
4,technology,0.99,20/06/2028,clarifai
4,room,0.99,20/06/2028,clarifai
4,screen,0.97,20/06/2028,clarifai
4,indoors,0.97,20/06/2028,clarifai
