"img_id","names"
"1","arm"
"1","back"
"1","bike"
"1","bikes"
"1","building"
"1","car"
"1","chin"
"1","clock"
"1","glasses"
"1","guy"
"1","headlight"
"1","jacket"
"1","lamp post"
"1","man"
"1","pants"
"1","parking meter"
"1","shade"
"1","shirt"
"1","shoes"
"1","sidewalk"
"1","sign"
"1","sneakers"
"1","street"
"1","tree"
"1","tree trunk"
"1","trees"
"1","van"
"1","wall"
"1","work truck"
"2","backpack"
"2","bike"
"2","building"
"2","car"
"2","crosswalk"
"2","lights"
"2","man"
"2","pole"
"2","road"
"2","sidewalk"
"2","sign"
"2","sneakers"
"2","street light"
"2","tree"
"2","trees"
"2","walk"
"2","walk sign"
"2","window"
"3","bag"
"3","black hair,dark hair"
"3","cabinet"
"3","cable"
"3","cables"
"3","chain"
"3","computer"
"3","computer case"
"3","computer tower"
"3","computer,monitor"
"3","cpu"
"3","cubicles"
"3","desk"
"3","desktop"
"3","dividing screen,partition"
"3","drawer"
"3","filing cabinet"
"3","floor"
"3","girl"
"3","grey keys"
"3","hair"
"3","handle"
"3","keyboard"
"3","monitor"
"3","monitor,calendar"
"3","mouse"
"3","multiple outlet"
"3","necklace"
"3","office phone"
"3","office phone base"
"3","outlet"
"3","pen"
"3","photos"
"3","picture"
"3","picture,calendar"
"3","plug"
"3","pluged,plugged,outlets"
"3","strap"
"3","table"
"3","telephone,phone"
"3","wall"
"3","white top,white t-shirt"
"3","wireless phone"
"3","woman"
"3","woman,girl"
"4","box"
"4","carpet"
"4","chair"
"4","cloths"
"4","color"
"4","colour"
"4","couch"
"4","couch,futon"
"4","curtains"
"4","curtains,curtain"
"4","desk"
"4","door"
"4","drape"
"4","floor"
"4","frame"
"4","lamp"
"4","padding"
"4","patio"
"4","picture"
"4","pillow"
"4","seats"
"4","table"
"4","table top"
"4","teddy bear"
"4","teddy bear,animal,doll"
"4","window"
"5","air conditioner"
"5","area"
"5","balcony"
"5","books"
"5","cables"
"5","chair"
"5","chairs"
"5","clothes"
"5","color"
"5","colour"
"5","computer"
"5","computer monitor"
"5","cork-board"
"5","cpu"
"5","desk"
"5","door"
"5","fax machine"
"5","floor"
"5","heater"
"5","keyboard"
"5","light"
"5","paper"
"5","printer"
"5","railing"
"5","room"
"5","shelves"
"5","wall"
"5","window"
"5","windows"
"6","apple"
"6","apple,milk"
"6","bag"
"6","bar stool"
"6","bottle"
"6","bowl"
"6","chair"
"6","container"
"6","container,bowl"
"6","counter"
"6","counter,counter top,table top,table"
"6","counter,glass"
"6","cover"
"6","crumb"
"6","drinking bottle,sports bottle,top"
"6","food"
"6","fork"
"6","glass"
"6","granite,water bottle"
"6","handle"
"6","leg"
"6","lid,drawer"
"6","liquid"
"6","logo"
"6","milk"
"6","packet"
"6","pan"
"6","plate"
"6","utensil"
"7","blue jeans"
"7","book"
"7","bracelet"
"7","cables"
"7","calculator"
"7","cd player"
"7","cereal"
"7","chair"
"7","cpu"
"7","desk"
"7","earring"
"7","floor"
"7","hair"
"7","headphones"
"7","juice bottle"
"7","keyboard"
"7","label"
"7","lady,woman"
"7","laptop"
"7","lid"
"7","monitor"
"7","mouse"
"7","mousepad"
"7","mug"
"7","pants"
"7","papers"
"7","pen"
"7","sticky note"
"7","sweater"
"7","tape dispenser"
"7","telephone"
"7","three hole punch"
"7","wall"
"7","water bottle"
"7","white board"
"7","white board,board"
"7","window"
"7","woman"
"7","wrist"
"7","wrist pad"
"7","writing"
"8","bag"
"8","book"
"8","books"
"8","bulletin board"
"8","cd"
"8","chair,seat"
"8","chin"
"8","coffee mug"
"8","color"
"8","computer speaker"
"8","computer,cpu"
"8","computer,monitor"
"8","cpu,computer"
"8","cup"
"8","cup,mug"
"8","desk"
"8","dish"
"8","dish,container"
"8","drawer"
"8","drawers"
"8","files"
"8","folder,holder"
"8","front"
"8","glasses"
"8","hand"
"8","keyboard"
"8","man"
"8","man,boy"
"8","man,guy"
"8","monitor"
"8","mouse"
"8","mug"
"8","pants"
"8","papers"
"8","picture"
"8","picture,photograph"
"8","shelf"
"8","shelves"
"8","shirt"
"8","sleeves"
"8","stapler"
"8","wall"
"9","baby"
"9","bin"
"9","blinds"
"9","book"
"9","books"
"9","bottle"
"9","building"
"9","cables"
"9","ceiling"
"9","chair"
"9","computer"
"9","corkboard"
"9","corkboard,cork-board"
"9","desk"
"9","floor"
"9","keyboard"
"9","lights"
"9","monitor"
"9","mouse pad"
"9","outside"
"9","papers"
"9","posters"
"9","room"
"9","room,picture"
"9","shelves"
"9","shelves,bookshelf"
"9","tower"
"9","tube"
"9","wall"
"9","wheels"
"9","window"
"9","windows"
"10","back"
"10","board"
"10","books"
"10","bookshelf"
"10","bottle"
"10","cable"
"10","cable,desk"
"10","chair"
"10","charger,wires"
"10","coat"
"10","coat,jacket"
"10","computer"
"10","computer screen"
"10","corkboard"
"10","cpu"
"10","cpu,computer tower,charger"
"10","cpu,computer tower,jacket"
"10","cup"
"10","desk"
"10","desk,table,sleeve,shelf"
"10","floor"
"10","floor,extension"
"10","headphones"
"10","headphones,man,books"
"10","keyboard"
"10","man"
"10","man,water bottle"
"10","monitor"
"10","ostirch"
"10","ostrich"
"10","outlet"
"10","panes"
"10","papers"
"10","picture frame"
"10","screen"
"10","shelf"
"10","shirt"
"10","table"
"10","wall"
"11","a building"
"11","arm rest"
"11","bag"
"11","blinds"
"11","bowl"
"11","chair,the chair"
"11","computer"
"11","computer tower"
"11","desk"
"11","floor"
"11","flowers"
"11","it"
"11","keyboard"
"11","keys"
"11","legs"
"11","lint"
"11","monitor"
"11","mouse"
"11","paperwork"
"11","plant"
"11","plate"
"11","room,scene"
"11","scene"
"11","sun"
"11","the bowl"
"11","the box"
"11","the box,the carton"
"11","the cabinet"
"11","the clothing"
"11","the computer"
"11","the cpu"
"11","the cup"
"11","the desk"
"11","the desk,the table"
"11","the mouse"
"11","the mouse pad"
"11","the mug"
"11","the mug,cup"
"11","the plant"
"11","the pot"
"11","the table"
"11","the wall"
"11","the window"
"12","armrest"
"12","composition book"
"12","composition book,office"
"12","computer keyboard"
"12","computer keyboard,computer monitor"
"12","computer monitor"
"12","computer speaker"
"12","cpu"
"12","cup"
"12","desk"
"12","inbox tray"
"12","mouse"
"12","office chair"
"12","paper"
"12","pen"
"12","spots"
"12","sticky note"
"12","surge protector"
"12","telephone"
"12","wall"
"12","water bottle"
"12","water bottle,computer monitor"
"13","baby"
"13","book"
"13","book,magazine"
"13","calendar"
"13","chair"
"13","computer,cpu"
"13","computer,hard drive"
"13","cord"
"13","cup"
"13","desk"
"13","floor"
"13","frame"
"13","jacket"
"13","keyboard"
"13","monitor"
"13","monitor,computer screen"
"13","mouse"
"13","orange cloth,jacket"
"13","pad"
"13","paper"
"13","pen"
"13","pens"
"13","photo"
"13","picture"
"13","picture,photograph"
"13","post it note"
"13","rolodex"
"13","scissors"
"13","telephone"
"13","telephone,phone"
"13","tray"
"13","wall"
"14","book"
"14","bottle"
"14","cap"
"14","cd"
"14","cd case"
"14","cd case,cds"
"14","computer"
"14","computer keyboard"
"14","computer keyboard,keyboard"
"14","computer monitor"
"14","computer mouse,mouse"
"14","dart"
"14","desk"
"14","desk,table"
"14","envelope"
"14","jigsaw puzzle,impressionist puzzle"
"14","jigsaw puzzle,painting"
"14","lamp"
"14","lamp stand"
"14","lid"
"14","mark pen"
"14","mouse pad"
"14","pen"
"14","people"
"14","picture,photo"
"14","post it notes,post-it note,sticky note"
"14","shade"
"14","soda cup"
"14","soda cup,cup"
"14","sticky note"
"14","wall"
"14","wrist rest"
"15","box"
"15","button is round"
"15","computer"
"15","desk is grey"
"15","desk,table"
"15","gazette,newspaper"
"15","grey"
"15","is wall white?"
"15","ketchup seen here"
"15","key,crossword"
"15","keyboard"
"15","keyboard has white,keys show grey"
"15","label"
"15","monitor"
"15","monitor is off,monitor has color,screen is off"
"15","mouse"
"15","mouse is white"
"15","pad is black,pad has silver"
"15","pad,mousepad"
"15","paper has corner"
"15","paper has puzzle"
"15","paper on desk,bit of paper seen"
"15","paper shows puzzle"
"15","papers"
"15","papers are here,paper seen here"
"15","powder on desk"
"15","red"
"15","room,scene,photo,picture"
"15","round button here"
"15","see grey desk"
"15","sticker"
"15","thing"
"15","thing on computer"
"15","wall"
"16","bag"
"16","boy"
"16","boy has pants"
"16","boys have jackets"
"16","building"
"16","car"
"16","cars"
"16","cone"
"16","cones by road"
"16","crack is on road"
"16","crane"
"16","curb  by car"
"16","fence"
"16","green trees seen"
"16","grey car, parked,car is parked"
"16","guys,people"
"16","hair"
"16","jacket"
"16","jacket,sweatshirt"
"16","light"
"16","line"
"16","man"
"16","man has bag"
"16","man has glasses"
"16","man has jeans"
"16","parking meter"
"16","people"
"16","picture is outside"
"16","pole"
"16","scene"
"16","see four men,see males"
"16","see mans glasses,glasses on man"
"16","see plastic bag"
"16","see poles sign"
"16","see rig in distance"
"16","see safety cones"
"16","sidewalk"
"16","sign"
"16","sign above curb"
"16","sign for parking"
"16","sign on pole"
"16","skyscraper"
"16","street"
"16","traffic cone"
"16","tree"
"16","trees on roadside"
"16","window"
"17","a chair is empty"
"17","alphabet"
"17","bending rules"
"17","black star here"
"17","cabinet"
"17","cabinet,drawers"
"17","chair"
"17","chair is black,roll around chair"
"17","chair rolls"
"17","chairs"
"17","cupboard not white"
"17","desk"
"17","desk has curves"
"17","desk has tv"
"17","door"
"17","floor is wood"
"17","keyboard"
"17","keys on board white"
"17","lamp"
"17","lampstand,lamp"
"17","laptop"
"17","laptop is silver"
"17","laptop not green"
"17","laptop,computer"
"17","lights"
"17","monitor"
"17","monitor off"
"17","monitor,computer"
"17","mouse"
"17","paintings on wall"
"17","phone"
"17","picture"
"17","picture,photo"
"17","poster with letters"
"17","poster,charts"
"17","poster,charts,chart"
"17","screen is black,desk has laptop"
"17","screens are off"
"17","see cupboard"
"17","see lamp"
"17","see tan chair"
"17","see wood floors"
"17","sign is blue,poster with heart"
"17","stand"
"17","star"
"17","star is black"
"17","star noted, black"
"17","star shows black"
"17","thing"
"17","tile,floor"
"17","vent"
"17","wall sign is blue"
"17","wall,photo,walls"
"17","wheels"
"17","white desk has tv"
"18","bag"
"18","books"
"18","bottle"
"18","can"
"18","chair"
"18","computer"
"18","cpu"
"18","desk"
"18","floor"
"18","hair"
"18","helmet"
"18","keyboard"
"18","man"
"18","man,tshirt"
"18","monitor"
"18","mouse"
"18","mug"
"18","shelf"
"18","shirt"
"18","soda"
"18","table"
"18","there"
"18","tissue"
"18","wall"
"18","window"
"19","cable"
"19","cables"
"19","chair"
"19","computer"
"19","computer monitor"
"19","computer mouse"
"19","computer printer"
"19","computer screen"
"19","computers"
"19","connection wire"
"19","cords"
"19","desk"
"19","desktop computer"
"19","electonics"
"19","electrical outlet"
"19","fire alarm,red switch"
"19","hallway"
"19","keyboard"
"19","monitor"
"19","monitor,computer"
"19","mouse"
"19","mousepad"
"19","office"
"19","pipe"
"19","printer"
"19","printer cable"
"19","roof"
"19","scene"
"19","speaker"
"19","tape"
"19","tube"
"19","wall"
"19","wires"
"20","back"
"20","book"
"20","books"
"20","books,cup"
"20","books,wood"
"20","bookshelf"
"20","bottle"
"20","boxes"
"20","can"
"20","case"
"20","chair"
"20","computer,bookshelf"
"20","computer,monitor"
"20","desk"
"20","desk,bookshelf"
"20","file cabinet"
"20","hair"
"20","keyboard"
"20","man"
"20","mouse"
"20","mouse pad"
"20","mug,cup"
"20","one person"
"20","picture"
"20","picture,it,photo,there,book shelf,bookshelf"
"20","plug"
"20","shirt"
"20","shutter"
"20","socket"
"20","table"
"20","tape dispenser"
"20","telephone,phone"
"20","the self"
"20","the self,door"
"20","the shelf"
"20","the shelf,shelf"
"20","time"
"20","wall"
"20","wall,desk"
"20","window"
"21","adult,woman"
"21","album"
"21","arm"
"21","blanket"
"21","blanket,cloth"
"21","child,kid,person"
"21","clip"
"21","couch"
"21","dress"
"21","floor"
"21","girl"
"21","girl,child"
"21","hair"
"21","hand"
"21","lap"
"21","neck"
"21","people"
"21","person"
"21","photo"
"21","photo,scene"
"21","picture"
"21","picture,photo"
"21","pillow,throw"
"21","scarf"
"21","shirt"
"21","shoulder"
"21","sofa"
"21","sofa,couch"
"21","sweater,thing"
"21","thing"
"21","trouser"
"21","tshirt"
